FAILAVG,METRIC,MXN,L4,M_STEP,M_PACKET,INTERFACES
0.0194717,153,9,UDP,15,1024,1
0.0326628,155,9,UDP,15,1024,1
0.00585177,104,9,UDP,15,1024,1
0,150,9,UDP,15,1024,1
0.362099,236,9,UDP,15,1024,1
0.00139106,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00305548,151,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00126988,150,9,UDP,30,1024,1
0.007444,151,9,UDP,30,1024,1
0.0148581,152,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.046908,157,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00953721,152,9,UDP,30,1024,1
0.00759697,151,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.22243,193,9,UDP,30,1024,1
0.00822207,151,9,UDP,30,1024,1
0.0128351,152,9,UDP,30,1024,1
0.00953535,152,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.0110103,152,9,UDP,30,1024,1
0.0150975,152,9,UDP,30,1024,1
0.0164437,153,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.383368,244,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00759697,151,9,UDP,30,1024,1
0.00953535,152,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00953721,152,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.046908,157,9,UDP,30,1024,1
0.00126988,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.007444,151,9,UDP,30,1024,1
0.0164437,153,9,UDP,30,1024,1
0.00305548,151,9,UDP,30,1024,1
0.046908,157,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.0150975,152,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.0148581,152,9,UDP,30,1024,1
0.00139106,150,9,UDP,30,1024,1
0.309977,218,9,UDP,30,1024,1
0.00305548,151,9,UDP,30,1024,1
0.00E+00,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00126988,150,9,UDP,30,1024,1
0.580768,359,9,UDP,30,1024,1
0.007444,151,9,UDP,30,1024,1
0.0148581,152,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0,104,9,UDP,30,1024,1
0.0294453,155,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.00953721,152,9,UDP,30,1024,1
0.00759697,151,9,UDP,30,1024,1
0,150,9,UDP,30,1024,1
0.22243,193,9,UDP,30,1024,1
0.00822207,151,9,UDP,30,1024,1
