FAILAVG,TXDURATION,METRIC,MXN,M_STEP,M_PACKET,INTERFACES,PDF,COMP,TX,TXX
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00642941,1448,151,9,15,1024,1,0.99624,1.006471015,SI,1
0.0110716,1448,152,9,15,1024,1,0.99624,1.011195553,SI,1
0.0165703,1448,153,9,15,1024,1,0.99624,1.016849501,SI,1
0.00308738,1448,151,9,15,1024,1,0.99624,1.003096941,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.374235,1448,240,9,15,1024,1,0.99624,1.598043994,SI,1
0.00582025,1448,151,9,15,1024,1,0.99624,1.005854324,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00611971,1448,151,9,15,1024,1,0.99624,1.006157391,SI,1
0.00491567,1448,151,9,15,1024,1,0.99624,1.004939953,SI,1
0.00543301,1448,151,9,15,1024,1,0.99624,1.005462689,SI,1
0.00806109,1448,151,9,15,1024,1,0.99624,1.008126599,SI,1
0.011949,1448,152,9,15,1024,1,0.99624,1.012093505,SI,1
0.00637358,1448,151,9,15,1024,1,0.99624,1.006414463,SI,1
0.0105793,1448,152,9,15,1024,1,0.99624,1.010692418,SI,1
0.0219952,1448,153,9,15,1024,1,0.99624,1.022489869,SI,1
0.0248615,1448,154,9,15,1024,1,0.99624,1.025495353,SI,1
0.0312335,1448,155,9,15,1024,1,0.99624,1.032240483,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.490578,1448,295,9,15,1024,1,0.99624,1.963009057,SI,1
0.00651297,1448,151,9,15,1024,1,0.99624,1.006555667,SI,1
0.0128725,1448,152,9,15,1024,1,0.99624,1.013040362,SI,1
0.0258247,1448,154,9,15,1024,1,0.99624,1.026509295,SI,1
0.0261111,1448,154,9,15,1024,1,0.99624,1.026811169,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00957738,1448,152,9,15,1024,1,0.99624,1.009669993,SI,1
0.0112356,1448,152,9,15,1024,1,0.99624,1.011363273,SI,1
0.00885886,1448,151,9,15,1024,1,0.99624,1.008938041,SI,1
0.0152658,1448,152,9,15,1024,1,0.99624,1.015502457,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000721479,1448,150,9,15,1024,1,0.99624,1.000722,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.0119795,1448,152,9,15,1024,1,0.99624,1.012124748,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.000411331,1448,150,9,15,1024,1,0.99624,1.0004115,SI,1
0.0188662,1448,153,9,15,1024,1,0.99624,1.019228978,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
6.96E-05,1448,150,9,15,1024,1,0.99624,1.000069605,SI,1
0.00E+00,1448,150,9,15,1024,1,0.99624,1,SI,1
0.00511961,1448,151,9,15,1024,1,0.99624,1.005145955,SI,1
0.0118906,1448,152,9,15,1024,1,0.99624,1.012033688,SI,1
0.000557189,1448,150,9,15,1024,1,0.99624,1.0005575,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.0332844,1448,155,9,15,1024,1,0.99624,1.034430395,SI,1
0.0120674,1448,152,9,15,1024,1,0.99624,1.012214801,SI,1
0.0118193,1448,152,9,15,1024,1,0.99624,1.011960667,SI,1
0.0218762,1448,153,9,15,1024,1,0.99624,1.022365472,SI,1
0.0194717,1448,153,9,15,1024,1,0.99624,1.019858376,SI,1
0.0326628,1448,155,9,15,1024,1,0.99624,1.033765682,SI,1
0.00585177,972,104,9,15,1024,1,0.99624,1.005886215,SI,1
0,1448,150,9,15,1024,1,0.99624,1,SI,1
0.362099,1448,236,9,15,1024,1,0.99624,1.567641374,SI,1
0.00139106,1448,150,9,30,1024,1,0.99624,1.001392998,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00305548,1448,151,9,30,1024,1,0.99624,1.003064845,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00126988,1448,150,9,30,1024,1,0.99624,1.001271495,SI,1
0.007444,1448,151,9,30,1024,1,0.99624,1.007499829,SI,1
0.0148581,1448,152,9,30,1024,1,0.99624,1.015082193,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.046908,1448,157,9,30,1024,1,0.99624,1.049216655,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00953721,1448,152,9,30,1024,1,0.99624,1.009629044,SI,1
0.00759697,1448,151,9,30,1024,1,0.99624,1.007655126,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.22243,1448,193,9,30,1024,1,0.99624,1.286057847,SI,1
0.00822207,1448,151,9,30,1024,1,0.99624,1.008290233,SI,1
0.0128351,1448,152,9,30,1024,1,0.99624,1.013001982,SI,1
0.00953535,1448,152,9,30,1024,1,0.99624,1.009627148,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.0110103,1448,152,9,30,1024,1,0.99624,1.011132876,SI,1
0.0150975,1448,152,9,30,1024,1,0.99624,1.015328928,SI,1
0.0164437,1448,153,9,30,1024,1,0.99624,1.016718616,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.383368,1448,244,9,30,1024,1,0.99624,1.621712788,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00759697,1448,151,9,30,1024,1,0.99624,1.007655126,SI,1
0.00953535,1448,152,9,30,1024,1,0.99624,1.009627148,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00953721,1448,152,9,30,1024,1,0.99624,1.009629044,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.046908,1448,157,9,30,1024,1,0.99624,1.049216655,SI,1
0.00126988,1448,150,9,30,1024,1,0.99624,1.001271495,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.007444,1448,151,9,30,1024,1,0.99624,1.007499829,SI,1
0.0164437,1448,153,9,30,1024,1,0.99624,1.016718616,SI,1
0.00305548,1448,151,9,30,1024,1,0.99624,1.003064845,SI,1
0.046908,1448,157,9,30,1024,1,0.99624,1.049216655,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.0150975,1448,152,9,30,1024,1,0.99624,1.015328928,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.0148581,1448,152,9,30,1024,1,0.99624,1.015082193,SI,1
0.00139106,1448,150,9,30,1024,1,0.99624,1.001392998,SI,1
0.309977,1448,218,9,30,1024,1,0.99624,1.449227055,SI,1
0.00305548,1448,151,9,30,1024,1,0.99624,1.003064845,SI,1
0.00E+00,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00126988,1448,150,9,30,1024,1,0.99624,1.001271495,SI,1
0.580768,1448,359,9,30,1024,1,0.99624,2.385314098,SI,1
0.007444,1448,151,9,30,1024,1,0.99624,1.007499829,SI,1
0.0148581,1448,152,9,30,1024,1,0.99624,1.015082193,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0,972,104,9,30,1024,1,0.99624,1,SI,1
0.0294453,1448,155,9,30,1024,1,0.99624,1.03033863,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.00953721,1448,152,9,30,1024,1,0.99624,1.009629044,SI,1
0.00759697,1448,151,9,30,1024,1,0.99624,1.007655126,SI,1
0,1448,150,9,30,1024,1,0.99624,1,SI,1
0.22243,1448,193,9,30,1024,1,0.99624,1.286057847,SI,1
